_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
1,2022,D32,Crimes Against Property,Auto Theft,79,0
2,2023,D12,Crimes Against Property,Break & Enter-House,1,0
3,2014,D13,Crimes Against Property,Auto Theft,7,0
4,2021,NSA,Crimes Against the Person,Sexual Violation,1,0
5,2020,D53,Crimes Against Property,Break & Enter-Apartment,2,0
6,2017,D43,Crimes Against Property,Break & Enter-Apartment,1,0
7,2023,D22,Crimes Against Property,Theft Under $5000,3,0
8,2018,D33,Crimes Against Property,Break & Enter-Other,1,0
9,2014,D55,Crimes Against the Person,Sexual Violation,1,0
10,2022,D43,Crimes Against Property,Theft Over $5000,2,0
11,2021,D23,Crimes Against Property,Break & Enter-Commercial,1,0
12,2016,D52,Crimes Against Property,Break & Enter-House,1,0
13,2017,D11,Crimes Against Property,Auto Theft,1,0
14,2017,D42,Crimes Against Property,Auto Theft,13,0
15,2019,D53,Crimes Against Property,Break & Enter-Apartment,2,0
16,2014,D23,Crimes Against the Person,Robbery-Other,1,0
17,2021,D13,Crimes Against Property,Break & Enter-Other,2,0
18,2018,D52,Crimes Against the Person,Sexual Violation,2,0
19,2023,D32,Crimes Against Property,Break & Enter-Apartment,2,0
20,2017,D55,Crimes Against Property,Break & Enter-Other,3,0
21,2016,NSA,Crimes Against Property,Other,1,0
22,2015,D55,Crimes Against Property,Auto Theft,13,0
23,2014,D32,Crimes Against the Person,Attempt Murder,1,0
24,2015,D13,Crimes Against the Person,Sexual Violation,2,0
25,2014,D33,Crimes Against the Person,Robbery-Other,1,0
26,2015,D42,Crimes Against Property,Other,1,0
27,2019,D53,Crimes Against Property,Break & Enter-House,1,0
28,2022,D41,Crimes Against Property,Auto Theft,5,0
29,2021,D14,Crimes Against Property,Auto Theft,16,0
30,2020,D22,Crimes Against Property,Break & Enter-House,3,0
31,2014,D12,Crimes Against the Person,Attempt Murder,1,0
32,2019,D41,Crimes Against Property,Theft Over $5000,1,0
33,2023,D11,Crimes Against Property,Theft Over $5000,2,0
34,2023,D14,Crimes Against Property,Theft Over $5000,5,0
35,2021,D23,Crimes Against Property,Auto Theft,21,0
36,2023,D32,Other Federal Statute Violations,Other,2,0
37,2022,D55,Crimes Against Property,Theft Over $5000,3,0
38,2020,D23,Crimes Against Property,Break & Enter-House,1,0
39,2023,D32,Crimes Against Property,Theft Over $5000,2,0
40,2014,D43,Crimes Against Property,Break & Enter-Commercial,2,0
41,2019,D33,Crimes Against Property,Auto Theft,10,0
42,2017,NSA,Crimes Against Property,Theft Over $5000,1,0
43,2014,D11,Crimes Against Property,Fraud,2,0
44,2017,D33,Crimes Against Property,Break & Enter-House,9,0
45,2020,D53,Crimes Against Property,Auto Theft,15,0
46,2014,D32,Crimes Against the Person,Attempt Murder,1,0
47,2017,D31,Crimes Against Property,Break & Enter-Other,1,0
48,2021,D55,Crimes Against the Person,Robbery-Other,3,0
49,2019,D32,Crimes Against the Person,Robbery-Other,3,0
50,2019,D42,Crimes Against Property,Break & Enter-Apartment,5,0
51,2017,D31,Crimes Against Property,Break & Enter-Other,1,0
52,2019,D23,Crimes Against Property,Break & Enter-Commercial,3,0
53,2021,D23,Crimes Against Property,Fraud,1,0
54,2022,D23,Crimes Against Property,Fraud,5,0
55,2014,D55,Crimes Against Property,Break & Enter-Apartment,6,0
56,2021,D32,Crimes Against Property,Auto Theft,61,0
57,2015,D53,Crimes Against Property,Break & Enter-Commercial,8,0
58,2022,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0
59,2015,D11,Crimes Against Property,Break & Enter-Commercial,1,0
60,2017,D32,Crimes Against Property,Auto Theft,12,0
61,2022,D42,Crimes Against Property,Break & Enter-House,9,0
62,2022,D41,Crimes Against Property,Theft Over $5000,4,0
63,2022,D13,Crimes Against the Person,Sexual Violation,1,0
64,2021,D51,Crimes Against Property,Theft Under $5000,1,0
65,2017,D53,Crimes Against Property,Break & Enter-Commercial,1,0
66,2016,D31,Crimes Against Property,Theft Over $5000,1,0
67,2014,D42,Crimes Against the Person,Attempt Murder,2,0
68,2020,D55,Crimes Against Property,Break & Enter-House,12,0
69,2021,D22,Other Federal Statute Violations,Other,3,0
70,2021,D42,Crimes Against Property,Break & Enter-Other,2,0
71,2014,D41,Crimes Against Property,Fraud,6,0
72,2021,D13,Crimes Against Property,Theft Over $5000,2,0
73,2021,D52,Crimes Against Property,Auto Theft,3,0
74,2019,D22,Crimes Against Property,Theft Under $5000,1,0
75,2017,D52,Crimes Against the Person,Sexual Violation,1,0
76,2020,D55,Crimes Against Property,Break & Enter-Other,7,0
77,2014,NSA,Crimes Against the Person,Other,1,0
78,2017,D13,Crimes Against Property,Theft Over $5000,1,0
79,2021,D52,Crimes Against Property,Theft Over $5000,1,0
80,2023,D43,Crimes Against Property,Break & Enter-Apartment,1,0
81,2018,D12,Crimes Against Property,Break & Enter-Other,1,0
82,2019,D32,Crimes Against Property,Break & Enter-Other,3,0
83,2015,D55,Crimes Against Property,Theft Over $5000,2,0
84,2014,D14,Crimes Against Property,Theft Over $5000,1,0
85,2019,D23,Crimes Against the Person,Robbery-Financial,5,0
86,2020,D43,Crimes Against Property,Auto Theft,4,0
87,2021,D32,Crimes Against Property,Break & Enter-Apartment,10,0
88,2019,D42,Crimes Against Property,Other,1,0
