_id,REPORT_YEAR,DIVISION,CATEGORY,CRIME_TYPE,COUNT_,COUNT_CLEARED,Period
1,2022,D32,Crimes Against Property,Theft,79,0,COVID Period
2,2023,D12,Crimes Against Property,Break & Enter,1,0,After COVID
3,2014,D13,Crimes Against Property,Theft,7,0,2014-2019
5,2020,D53,Crimes Against Property,Break & Enter,2,0,COVID Period
6,2017,D43,Crimes Against Property,Break & Enter,1,0,2014-2019
7,2023,D22,Crimes Against Property,Theft,3,0,After COVID
8,2018,D33,Crimes Against Property,Break & Enter,1,0,2014-2019
9,2014,D55,Crimes Against the Person,Sexual Violation,1,0,2014-2019
10,2022,D43,Crimes Against Property,Theft,2,0,COVID Period
11,2021,D23,Crimes Against Property,Break & Enter,1,0,COVID Period
12,2016,D52,Crimes Against Property,Break & Enter,1,0,2014-2019
13,2017,D11,Crimes Against Property,Theft,1,0,2014-2019
14,2017,D42,Crimes Against Property,Theft,13,0,2014-2019
15,2019,D53,Crimes Against Property,Break & Enter,2,0,2014-2019
16,2014,D23,Crimes Against the Person,Robbery,1,0,2014-2019
17,2021,D13,Crimes Against Property,Break & Enter,2,0,COVID Period
18,2018,D52,Crimes Against the Person,Sexual Violation,2,0,2014-2019
19,2023,D32,Crimes Against Property,Break & Enter,2,0,After COVID
20,2017,D55,Crimes Against Property,Break & Enter,3,0,2014-2019
22,2015,D55,Crimes Against Property,Theft,13,0,2014-2019
23,2014,D32,Crimes Against the Person,Attempt Murder,1,0,2014-2019
24,2015,D13,Crimes Against the Person,Sexual Violation,2,0,2014-2019
25,2014,D33,Crimes Against the Person,Robbery,1,0,2014-2019
26,2015,D42,Crimes Against Property,Other,1,0,2014-2019
27,2019,D53,Crimes Against Property,Break & Enter,1,0,2014-2019
28,2022,D41,Crimes Against Property,Theft,5,0,COVID Period
29,2021,D14,Crimes Against Property,Theft,16,0,COVID Period
30,2020,D22,Crimes Against Property,Break & Enter,3,0,COVID Period
31,2014,D12,Crimes Against the Person,Attempt Murder,1,0,2014-2019
32,2019,D41,Crimes Against Property,Theft,1,0,2014-2019
33,2023,D11,Crimes Against Property,Theft,2,0,After COVID
34,2023,D14,Crimes Against Property,Theft,5,0,After COVID
35,2021,D23,Crimes Against Property,Theft,21,0,COVID Period
37,2022,D55,Crimes Against Property,Theft,3,0,COVID Period
38,2020,D23,Crimes Against Property,Break & Enter,1,0,COVID Period
39,2023,D32,Crimes Against Property,Theft,2,0,After COVID
40,2014,D43,Crimes Against Property,Break & Enter,2,0,2014-2019
41,2019,D33,Crimes Against Property,Theft,10,0,2014-2019
43,2014,D11,Crimes Against Property,Fraud,2,0,2014-2019
44,2017,D33,Crimes Against Property,Break & Enter,9,0,2014-2019
45,2020,D53,Crimes Against Property,Theft,15,0,COVID Period
46,2014,D32,Crimes Against the Person,Attempt Murder,1,0,2014-2019
47,2017,D31,Crimes Against Property,Break & Enter,1,0,2014-2019
48,2021,D55,Crimes Against the Person,Robbery,3,0,COVID Period
49,2019,D32,Crimes Against the Person,Robbery,3,0,2014-2019
50,2019,D42,Crimes Against Property,Break & Enter,5,0,2014-2019
51,2017,D31,Crimes Against Property,Break & Enter,1,0,2014-2019
